ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UESS,ОЧП,АН,False,Черский,6829,148.87,42.43,0,1,3202,5123.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UIAA,ОЧП,УА,True,Чита (Кадала),358674,3290.69,336.09,64584,1,571849,914958.0,184.8,696.0,96.12,573.12,21 октября 2019
UESO,ОЧП,АН,False,Чокурдах,6592,253.0,22.25,0,2,2443,3909.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHHY,ОЧП,АН,False,Чумикан,3765,28.08,16.64,0,3,1604,2566.0,518.5,2113.3,275.3,942.4,10 января 2019
UHSK,ОЧП,АН,True,Шахтерск,7939,6.54,0.0,0,1,58779,94046.0,415.9,2028.8,269.6,580.7,5 сентября 2016
HC3Y,ОЧП,АН,False,Шикотан,0,0.0,0.0,0,4,11244,17990.0,,,,,
UHBP,ОЧП,АН,False,Экимчан,385,2.003,0.0,0,2,4267,6827.0,,,,,
URWI,ОЧП,УА,True,Элиста,10898,8.16,0.02,80165,1,219053,350485.0,195.6,700.0,69.6,325.0,21 января 2019
UHSM,ОЧП,АН,True,Южно-Курильск (Менделеево),24348,65.59,25.7,70897,1,11817,18907.0,270.0,820.0,240.0,680.0,21 октября 2019
UHSS,ОЧП,УА,True,Южно-Сахалинск (Хомутово),985211,10556.14,1251.41,79460,1,343377,549403.0,196.8,878.0,60.3,517.0,10 октября 2017
UEEE,ОЧП,УА,True,Якутск,902463,10858.05,2225.73,73227,1,440501,704802.0,205.0,1267.0,111.0,593.0,10 октября 2017
USMQ,ОЧП,АН,True,Ямбург,62419,1.31,0.0,69916,1,3137,5019.0,,,,,
UUDL,ОЧП,УА,True,Ярославль (Туношна),23817,5811.95,0.0,56500,1,2142127,3427403.0,186.67,1013.02,177.65,415.74,22 октября 2019
UHSI,ОЧП,АН,True,Ясный (о. Итуруп),24443,61.28,22.44,0,1,6485,10376.0,,,,,
